food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
Quinoa and Fruit Salad with Lime Dressing,220,40,5,5,5,1000,15,0,1,4,0.1,0.2,2,0.2,40,50,1,50,130,200,5,0.5,15,20,10,Veg,Breakfast,Male
Pumpkin Seed Granola with Almond Milk,240,35,6,10,5,1500,5,0,1.5,5,0.2,0.3,2,0.2,30,120,2,60,150,250,5,2,20,30,10,Veg,Breakfast,Male
Ragi Pancakes with Jaggery and Coconut,260,50,6,7,6,2000,10,0,2,6,0.2,0.4,2,0.2,60,150,2,40,140,230,5,1,15,20,10,Veg,Breakfast,Male
Hummus on Multigrain Toast with Radishes,250,30,8,12,6,500,10,0,1,5,0.1,0.2,1,0.1,40,80,2,40,120,150,5,1,10,15,8,Veg,Breakfast,Male
Quinoa and Chickpea Salad,350,50,12,9,9,1500,15,0,1.5,6,0.3,0.4,3,0.3,90,100,3.5,80,220,300,6,1.5,25,40,10,Veg,Lunch,Male
Grilled Chicken with Couscous and Veggies,420,45,35,8,7,1000,20,20,1,8,0.2,0.3,4,0.3,50,40,2.5,80,250,450,5,1.8,50,60,5,Non-Veg,Lunch,Male
Baked Salmon with Spinach and Lentils,480,35,42,12,8,2000,25,400,3,15,0.2,0.4,3,0.4,70,120,3.5,100,300,400,7,2.2,300,80,0,Non-Veg,Lunch,Male
Vegetable Curry with Brown Rice,380,55,10,8,8,2500,30,0,2,10,0.4,0.5,4,0.4,80,100,3.5,90,240,320,6,1.2,20,50,12,Veg,Lunch,Male
Lentil and Kale Soup with Whole-Grain Bread,290,45,15,6,9,1500,25,0,1.5,5,0.3,0.4,3,0.2,80,80,2.5,70,200,300,5,1.1,15,40,5,Veg,Lunch,Male
Tofu and Broccoli Stir-Fry with Red Rice,340,50,18,7,8,1000,20,0,2,5,0.2,0.4,3,0.3,70,90,3,80,220,350,6,1.5,20,50,5,Veg,Lunch,Male
Stuffed Bell Peppers with Quinoa and Beans,310,45,12,8,9,2000,35,0,2.5,10,0.3,0.4,3,0.3,90,110,3.5,80,250,300,6,1.2,20,50,8,Veg,Lunch,Male
Soya Chunks with Grilled Vegetables,320,40,20,7,8,1500,20,0,1.5,8,0.3,0.4,3,0.3,80,70,3,70,200,250,6,1.5,20,50,5,Veg,Lunch,Male
Steamed Fish with Lemon and Zucchini,290,10,35,10,4,800,15,300,1,3,0.1,0.2,3,0.2,40,50,1.2,50,200,150,4,1.8,100,20,0,Non-Veg,Lunch,Male
Bulgur Wheat with Lentils and Veggies,350,55,12,8,9,2500,30,0,1.5,10,0.3,0.4,3,0.4,80,120,4,100,250,300,6,1.5,25,50,8,Veg,Lunch,Male
Grilled Salmon with Steamed Broccoli,410,12,38,18,5,1500,20,400,2.5,8,0.2,0.4,5,0.5,80,50,1.8,70,240,350,6,2.3,300,40,0,Non-Veg,Dinner,Male
Vegetable Stir-Fry with Tofu and Brown Rice,380,55,18,7,8,2000,25,0,2,10,0.3,0.4,4,0.3,70,120,4,90,280,320,6,1.5,25,50,5,Veg,Dinner,Male
Cauliflower and Peas Curry with Quinoa,350,50,12,8,9,2500,30,0,1.5,10,0.3,0.4,3,0.3,80,110,3.5,80,240,300,6,1.2,20,40,8,Veg,Dinner,Male
Baked Tofu with Roasted Vegetables,330,40,20,10,9,1500,20,0,1.5,5,0.2,0.3,3,0.3,60,90,3,70,220,300,5,1.5,15,40,7,Veg,Dinner,Male
Spinach and Lentil Curry with Whole Wheat Roti,300,40,15,7,8,2500,30,0,2,10,0.4,0.5,3,0.4,90,100,3,80,250,320,6,1.2,20,40,8,Veg,Dinner,Male
Grilled Chicken with Steamed Asparagus,360,8,38,12,4,1000,15,20,1.5,3,0.1,0.3,4,0.3,50,40,2.5,60,200,250,6,1.8,50,20,0,Non-Veg,Dinner,Male
Methi Dal with a Bajra Roti,320,50,10,6,8,2000,20,0,1.5,10,0.3,0.4,3,0.3,70,100,3,90,220,300,6,1.2,20,50,6,Veg,Dinner,Male
Sautéed Greens with Grilled Paneer,340,20,15,15,7,2500,20,0,1.5,8,0.3,0.4,3,0.3,80,100,3.5,80,200,250,6,1.2,20,40,5,Veg,Dinner,Male
Grilled Fish with Kale and Mushrooms,390,15,40,15,5,1200,15,400,2,5,0.1,0.2,3,0.2,40,50,1.5,50,180,150,4,2.2,150,20,0,Non-Veg,Dinner,Male
Oats with Flaxseeds and Berries,280,45,7,7,8,1500,30,0,1.5,8,0.2,0.3,2,0.2,40,60,2.5,80,180,120,1.5,1.2,15,25,9,Veg,Breakfast,Female
Ragi Porridge with Walnuts and Cinnamon,300,55,8,5,4,500,10,0,0.5,4,0.1,0.2,1.5,0.1,30,120,3,60,150,50,1,1,10,15,5,Veg,Breakfast,Female
Chia Seed Pudding with Berries,250,30,6,10,9,800,15,0,1,5,0.1,0.2,1.5,0.1,20,100,2.5,80,120,80,1,1.2,12,15,6,Veg,Breakfast,Female
Greek Yogurt with Flaxseeds and Strawberries,200,20,8,5,2,300,20,0,1.5,5,0.1,0.2,1.5,0.1,30,100,1,50,150,50,1,0.8,8,5,5,Veg,Breakfast,Female
Multigrain Toast with Avocado,320,35,8,15,7,500,12,0,2.5,8,0.2,0.3,2,0.2,30,60,1.5,40,200,120,2,1.5,10,10,1,Veg,Breakfast,Female
Vegetable Upma with Carrots and Peas,300,40,7,8,6,800,10,0,1,8,0.2,0.3,1.5,0.2,40,60,2,40,150,80,1.5,0.5,5,20,5,Veg,Breakfast,Female
"Smoothie with Cucumber, Spinach, Lemon",180,25,3,3,5,2000,40,0,1,10,0.1,0.2,1,0.1,30,40,1.5,20,150,50,0.8,0.2,2,10,6,Veg,Breakfast,Female
Scrambled Egg Whites with Kale,250,10,20,8,3,1500,20,40,1.5,6,0.1,0.3,1.5,0.2,40,40,1.5,20,120,80,0.5,0.5,5,0,0,Non-Veg,Breakfast,Female
Whole Wheat Toast with Cottage Cheese,300,35,12,8,5,500,10,0,1.5,5,0.1,0.2,1.5,0.1,20,120,2,40,180,100,1,0.8,10,5,2,Veg,Breakfast,Female
Grilled Chicken with Quinoa and Vegetables,350,30,30,8,6,800,20,50,1.5,10,0.2,0.3,3.5,0.4,40,40,2,80,300,150,2.5,2.5,15,6,2,Non-Veg,Lunch,Female
Tofu Stir-Fry with Broccoli and Bell Peppers,320,25,20,10,8,1500,30,0,2,20,0.2,0.3,2,0.3,50,150,3.5,70,250,100,2.5,1.5,10,10,5,Veg,Lunch,Female
Chole (Chickpeas) with Green Salad,340,45,12,8,9,900,25,0,2,15,0.3,0.2,1.5,0.2,40,80,4,60,300,80,2,1.2,8,12,4,Veg,Lunch,Female
Grilled Fish with Mixed Vegetables,320,20,25,10,5,800,15,50,2.5,10,0.2,0.2,3,0.4,30,100,1.5,70,250,120,1.5,2.5,12,5,1,Non-Veg,Lunch,Female
Rajma Salad with Olive Oil Dressing,330,50,12,6,10,900,30,0,1,8,0.3,0.2,1.5,0.3,50,60,3,80,200,50,1.5,1,8,10,4,Veg,Lunch,Female
Grilled Paneer with Spinach Salad,310,20,15,15,7,1500,25,0,2.5,25,0.2,0.3,2,0.2,30,100,3,50,150,80,2.5,0.8,8,5,1,Veg,Lunch,Female
Soya Bean Curry with Red Rice,350,40,20,8,10,800,15,0,1.5,12,0.2,0.2,2,0.2,40,120,4,70,300,150,2.5,2,10,8,4,Veg,Lunch,Female
Moong Dal Soup with Cucumber Salad,280,35,12,6,7,500,20,0,1.5,10,0.1,0.3,1.5,0.1,30,80,3,50,180,70,1.2,0.5,6,6,3,Veg,Lunch,Female
Grilled Salmon with Steamed Greens,340,10,25,15,5,1000,20,200,2.5,15,0.3,0.3,4,0.4,30,120,1.8,80,300,150,1.5,2.5,12,5,0,Non-Veg,Lunch,Female
Palak Dal with Brown Rice,300,40,12,5,8,2000,30,0,1.5,20,0.2,0.3,1.5,0.2,50,80,4,70,200,80,1.5,0.8,8,8,6,Veg,Lunch,Female
Grilled Fish with Sautéed Kale and Mushrooms,320,10,25,12,6,1200,20,200,3.5,20,0.2,0.2,3.5,0.4,30,150,2,60,250,150,1.8,3,8,4,0,Non-Veg,Dinner,Female
Grilled Tofu with Steamed Cauliflower and Broccoli,310,15,20,10,8,1500,40,0,2,25,0.2,0.3,1.5,0.3,50,120,3.5,70,200,100,2,1.5,10,6,5,Veg,Dinner,Female
Cauliflower and Peas Curry with Quinoa,340,40,12,8,9,1000,30,0,1.5,12,0.3,0.2,1.5,0.3,50,70,4,60,250,80,2,0.8,8,6,4,Veg,Dinner,Female
Vegetable Stir-Fry with Tofu and Brown Rice,330,45,15,8,7,900,25,0,2,20,0.2,0.3,2,0.2,30,100,3,50,200,100,2,1.2,6,8,5,Veg,Dinner,Female
Methi Dal with Sautéed Greens,300,35,12,5,8,2000,30,0,1.5,15,0.2,0.2,1.5,0.1,40,80,4,60,200,80,1.5,0.5,8,6,3,Veg,Dinner,Female
Spinach Dal with Brown Rice,310,40,12,5,7,1500,20,0,2,25,0.2,0.3,1.5,0.2,40,70,3,60,200,80,1.2,0.8,8,8,4,Veg,Dinner,Female
Grilled Paneer with Steamed Carrots and Zucchini,320,15,15,15,6,1200,25,0,2.5,30,0.2,0.2,2,0.2,50,120,3,70,200,80,2,0.8,10,5,1,Veg,Dinner,Female
Baked Tofu with Roasted Vegetables,310,25,18,10,8,1000,30,0,2,20,0.2,0.3,1.5,0.3,40,100,4,70,200,100,2,1.5,8,10,5,Veg,Dinner,Female
Cauliflower and Peas Curry with Roti,300,40,10,5,8,900,25,0,1,10,0.2,0.2,1.5,0.2,30,80,3,60,200,100,1.5,0.8,6,8,3,Veg,Dinner,Female
Moong Dal Khichdi with Spinach and Carrots,340,50,12,5,9,1500,35,0,1.5,30,0.2,0.3,2,0.2,50,100,4,70,300,80,1.8,0.5,8,10,6,Veg,Dinner,Female
"Oats porridge with flaxseeds, a few berries, and yogurt",300,45,8,10,8,1500,20,0,2,50,0.3,0.5,4,0.7,150,200,5,50,100,350,50,4,200,300,7,Vegetarian,Breakfast,Male
Steamed idli with coconut chutney and sambhar (for added fiber),250,45,7,5,6,1000,30,0,2,60,0.2,0.4,3,0.6,150,100,3,70,80,300,40,3,40,50,4,Vegetarian,Breakfast,Male
"Poha with added Vegies (carrot, peas) and a sprinkle of flaxseeds",280,40,7,8,6,1500,35,0,3,70,0.3,0.5,4,0.7,150,150,5,60,90,350,40,3,100,150,2,Vegetarian,Breakfast,Male
Ragi dosa with mint chutney,200,30,6,5,4,3000,50,0,2,100,0.2,0.3,2,0.5,120,80,3,50,70,300,30,2,50,60,1,Vegetarian,Breakfast,Male
"Masala oats with grated ginger, cumin, and Vegetables",350,50,12,10,7,3000,40,0,3,80,0.3,0.4,5,1,150,100,6,60,110,400,50,4,30,80,2,Vegetarian,Breakfast,Male
Greek yogurt with chia seeds and a few slices of banana,280,35,12,10,7,3000,50,50,2,80,0.3,0.4,4,1,200,150,6,80,150,300,70,3,150,100,8,Vegetarian,Breakfast,Male
Dalia (broken wheat) with mixed Vegetables,280,45,8,6,6,2000,40,0,2,50,0.3,0.5,3,0.8,150,100,5,60,90,300,40,4,30,50,3,Vegetarian,Breakfast,Male
"Moong dal chilla with green chutney (coriander, mint, and ginger)",250,35,12,6,7,1500,50,0,2,100,0.2,0.4,5,0.8,150,100,5,70,80,350,40,3,50,60,2,Vegetarian,Breakfast,Male
"Smoothie with banana, spinach, cucumber, and a touch of ginger",220,40,4,5,5,3000,60,0,2,80,0.3,0.4,2,0.6,200,150,6,70,120,350,50,4,40,70,4,Vegetarian,Breakfast,Male
Warm water with lemon and a side of papaya,120,30,2,0,3,5000,80,0,2,20,0.2,0.3,2,0.4,50,50,1,30,50,100,10,2,10,20,5,Vegetarian,Breakfast,Male
Spinach dal with brown rice,280,45,10,5,7,4500,30,0,0.3,100,0.1,0.1,1.5,0.2,120,90,3.5,90,180,350,20,1.2,40,500,2,Vegetarian,Lunch,Male
Vegetable khichdi with moong dal,250,40,9,4,5,100,12,0,0.2,15,0.06,0.05,1.2,0.1,50,50,2.2,60,130,220,5,0.8,0,300,1,Vegetarian,Lunch,Male
Lauki sabzi with one phulka,220,35,6,4,5,80,10,0,0.3,5,0.05,0.06,0.9,0.06,40,50,1.8,40,120,150,3,0.5,0,100,2,Vegetarian,Lunch,Male
Steamed rice with curd and cumin,200,35,6,4,1.5,15,2,15,0.1,0,0.02,0.03,0.7,0.05,20,80,0.5,20,90,200,30,0.3,0,100,2,Vegetarian,Lunch,Male
Pumpkin sabzi with cucumber & tomato salad,180,28,4,4,4,6000,25,0,0.2,20,0.06,0.06,0.5,0.08,30,40,1.5,40,150,300,10,0.4,0,200,3,Vegetarian,Lunch,Male
Tinda curry with whole-wheat roti,210,35,5,4,4,100,15,0,0.3,10,0.05,0.06,1,0.07,50,60,1.8,50,180,200,4,0.6,0,200,1,Vegetarian,Lunch,Male
Bhindi stir-fry with cumin & coriander,200,20,3,6,5,1000,20,0,0.4,50,0.05,0.05,1,0.1,70,70,2,50,150,300,10,0.8,0,300,1,Vegetarian,Lunch,Male
Mixed vegetable soup with ginger & turmeric,150,25,3,1,3,800,25,0,0.2,60,0.04,0.03,0.5,0.06,25,40,1.2,40,90,250,5,0.3,10,100,3,Vegetarian,Lunch,Male
Quinoa with steamed veggies,280,50,8,5,6,200,10,0,0.4,15,0.07,0.06,1.5,0.1,50,30,2.5,90,180,250,3,1,500,1200,1,Vegetarian,Lunch,Male
Methi dal with brown rice,260,40,9,5,6,2500,20,0,0.3,90,0.1,0.1,1.5,0.2,120,70,3.2,80,180,350,15,1.2,40,400,2,Vegetarian,Lunch,Male
"Vegetarianetable stew with carrots, zucchini, and beans",300,40,6,8,7,2500,60,0,3,100,0.3,0.4,3,0.7,150,100,4,60,100,350,40,3,30,60,3,Vegetarian,Dinner,Male
Palak (spinach) soup with ginger and a side of phulka,250,35,7,5,6,5000,80,0,2,90,0.3,0.4,4,0.6,150,150,5,60,80,300,40,3,20,50,2,Vegetarian,Dinner,Male
"Grilled fish with steamed Vegetables (broccoli, carrots)",350,25,30,12,6,2500,60,50,3,70,0.3,0.4,5,1,200,200,6,80,120,400,50,4,150,200,1,Non-Vegetarian,Dinner,Male
Moong dal khichdi with a pinch of asafoetida (hing),280,45,10,7,6,2500,40,0,3,80,0.3,0.4,4,0.7,150,120,5,60,90,350,50,3,40,70,2,Vegetarian,Dinner,Male
Paneer and spinach curry with minimal oil and spices,320,15,20,15,6,3000,50,0,3,80,0.2,0.4,5,0.6,200,150,8,80,120,300,50,4,100,200,2,Vegetarian,Dinner,Male
Mixed Vegetarianetable soup with cumin and black pepper,200,30,5,6,5,2500,60,0,2,90,0.3,0.4,4,0.7,150,100,5,60,90,350,40,3,40,50,3,Vegetarian,Dinner,Male
Curd rice (small portion of rice) with cucumber and coriander,230,35,6,4,3,1000,30,0,2,50,0.2,0.3,2,0.5,120,80,3,40,60,250,30,2,10,20,4,Vegetarian,Dinner,Male
Bottle gourd curry with one bajra (millet) roti,280,40,7,7,6,2000,50,0,3,70,0.3,0.4,4,0.8,150,120,5,50,90,300,50,3,30,60,3,Vegetarian,Dinner,Male
Sautéed greens with a side of baked sweet potato,300,45,8,8,7,5000,100,0,4,150,0.3,0.4,5,0.9,200,150,6,80,120,350,60,4,50,80,3,Vegetarian,Dinner,Male
"Lightly seasoned stir-fried zucchini, carrots, and tofu",250,30,10,8,6,2000,60,0,3,80,0.3,0.4,4,0.8,150,100,5,60,90,300,50,3,30,50,2,Vegetarian,Dinner,Male
Warm water with lemon and a few slices of papaya,80,22,1,0,3,2500,40,0,1,0,0.1,0.2,1,0.1,50,15,0,20,20,160,10,0,10,5,8,Vegetarian,Breakfast,Female
Ragi porridge with a dash of cinnamon and a few almonds,220,30,6,8,5,500,2,0,1,2,0.1,0.2,3,0.5,50,120,3,60,90,180,50,1,100,10,4,Vegetarian,Breakfast,Female
"Greek yogurt with chia seeds, banana, and a touch of honey",280,40,12,7,5,1000,15,0,2,20,0.3,0.5,5,0.4,80,100,4,70,110,250,50,3,20,15,18,Vegetarian,Breakfast,Female
"Poha with added Vegies (carrot, peas) and a sprinkle of fennel seeds",210,35,5,6,4,1500,50,0,2,40,0.2,0.3,3,0.4,70,70,2,50,80,200,30,1,20,25,4,Vegetarian,Breakfast,Female
Idli with coconut chutney and sambhar,250,40,8,7,5,1500,50,0,3,60,0.3,0.5,4,0.6,100,80,5,60,100,250,40,2,30,20,5,Vegetarian,Breakfast,Female
"Oats porridge with flaxseeds, a few raisins, and fresh berries",280,45,8,6,7,2000,60,0,3,80,0.3,0.4,5,0.7,120,100,6,70,100,300,50,2,100,20,6,Vegetarian,Breakfast,Female
"Masala oats with ginger, cumin, and spinach",230,35,6,7,6,2000,40,0,3,70,0.2,0.3,4,0.6,90,80,4,60,90,250,50,3,50,25,5,Vegetarian,Breakfast,Female
Dalia (broken wheat) with grated carrot and a touch of turmeric,200,35,6,5,5,1000,40,0,2,30,0.3,0.3,3,0.5,100,90,3,60,80,250,40,2,10,10,4,Vegetarian,Breakfast,Female
Moong dal chilla with coriander chutney (with ginger),220,30,12,6,5,1000,20,0,3,40,0.3,0.4,4,0.5,150,120,4,50,80,200,50,3,20,15,5,Vegetarian,Breakfast,Female
"Vegetarianetable smoothie with cucumber, spinach, and ginger",150,25,5,2,4,1500,50,0,1,60,0.3,0.3,3,0.5,120,80,2,40,70,180,30,1,10,20,6,Vegetarian,Breakfast,Female
Palak (spinach) dal with a small portion of brown rice,280,40,12,7,8,3000,40,0,2,80,0.3,0.4,5,0.6,200,100,5,70,120,250,30,2,30,40,3,Vegetarian,Lunch,Female
"Moong dal khichdi with added Vegies (carrot, beans) and a pinch of asafoetida (hing)",310,45,12,8,10,2500,50,0,2,90,0.3,0.4,4,0.7,180,120,6,70,110,350,40,3,20,30,4,Vegetarian,Lunch,Female
Pumpkin curry with a side of cucumber and carrot salad,210,30,6,6,5,4000,50,0,3,80,0.3,0.3,4,0.5,150,100,4,50,90,300,40,3,20,30,3,Vegetarian,Lunch,Female
Lauki (bottle gourd) sabzi with one multigrain roti,220,35,5,8,7,2000,30,0,2,60,0.2,0.3,3,0.5,120,80,4,60,100,250,40,3,10,20,3,Vegetarian,Lunch,Female
Tinda (round gourd) curry with whole-wheat phulka,250,35,7,6,5,2000,40,0,3,60,0.2,0.3,4,0.6,160,120,4,60,90,300,50,2,30,40,2,Vegetarian,Lunch,Female
Curd rice (small portion of rice with probiotic-rich curd),270,45,6,4,2,1000,25,0,1,50,0.1,0.3,2,0.4,150,70,3,40,60,300,50,2,10,20,5,Vegetarian,Lunch,Female
"Quinoa salad with steamed Vegies (zucchini, bell peppers)",300,40,10,7,9,2500,50,0,3,90,0.3,0.4,5,0.7,200,150,6,70,100,350,50,4,20,30,4,Vegetarian,Lunch,Female
"Sautéed paneer with cumin, coriander powder, and a side of salad",320,12,15,18,4,1500,20,0,3,60,0.3,0.5,5,0.6,150,200,7,80,120,300,60,5,30,40,2,Vegetarian,Lunch,Female
Beetroot and carrot salad with a light yogurt dressing,180,25,6,4,7,1500,50,0,2,60,0.2,0.3,3,0.5,120,100,4,40,70,180,30,2,10,20,6,Vegetarian,Lunch,Female
Steamed brown rice with dal and a side of steamed Vegetables,240,45,10,4,8,2000,50,0,3,80,0.3,0.4,5,0.6,180,120,5,70,110,300,50,3,20,30,4,Vegetarian,Lunch,Female
"Vegetarianetable stew with carrot, beans, zucchini, and a hint of ginger",150,30,5,3,7,3000,50,0,3,80,0.3,0.3,3,0.4,150,100,4,50,80,220,30,2,10,20,5,Vegetarian,Dinner,Female
Moong dal soup with cumin and coriander,180,30,8,3,7,2000,20,0,2,40,0.2,0.3,4,0.5,120,80,5,40,70,250,30,2,10,15,4,Vegetarian,Dinner,Female
"Grilled paneer with a side of sautéed greens (spinach, kale)",280,10,20,18,5,1500,60,0,3,70,0.3,0.4,6,0.5,200,250,7,100,150,300,50,4,30,40,3,Vegetarian,Dinner,Female
Mixed Vegetarianetable khichdi with minimal spices and low oil,270,45,8,4,7,3000,50,0,2,60,0.3,0.4,5,0.5,150,120,6,60,90,250,40,3,10,20,5,Vegetarian,Dinner,Female
"Lightly seasoned stir-fried Vegies (zucchini, bell peppers, carrots) with tofu",230,25,12,10,6,2000,60,0,2,80,0.2,0.3,4,0.6,180,150,7,70,110,280,40,3,20,30,6,Vegetarian,Dinner,Female
Bottle gourd curry with a side of phulka,220,35,6,8,6,2000,40,0,2,60,0.2,0.3,3,0.5,120,80,5,50,80,250,50,2,10,20,4,Vegetarian,Dinner,Female
Palak (spinach) soup with a pinch of black pepper and one roti,230,35,7,4,6,3000,50,0,3,70,0.3,0.3,4,0.6,180,120,5,60,100,300,50,3,20,30,3,Vegetarian,Dinner,Female
Baked sweet potato with a sprinkle of cumin and a side of green salad,180,40,3,1,5,1000,30,0,1,40,0.3,0.4,4,0.5,150,80,2,30,60,180,40,3,10,20,2,Vegetarian,Dinner,Female
Cabbage and carrot stir-fry with a dash of turmeric,160,30,4,5,7,2000,50,0,2,80,0.2,0.3,4,0.4,150,90,3,40,70,250,30,2,10,15,3,Vegetarian,Dinner,Female
Dahi (curd) with cucumber and a small portion of brown rice,220,40,8,5,6,2000,40,0,2,60,0.3,0.4,5,0.5,150,120,5,50,80,250,40,3,20,30,4,Vegetarian,Dinner,Female
Ragi porridge with dates,190,32,4,3,4.5,55,0.6,0,0.3,0,0.1,0.1,0.6,0.2,11,120,1.2,40,85,210,5,0.6,8,2,9,Veg,Breakfast,Male
"Poha with ginger, peas, and carrot",210,35,6,4,5.5,640,5,0,0.5,20,0.3,0.1,2,0.3,30,40,1.5,30,100,230,7,0.8,5,1.5,2,Veg,Breakfast,Male
Idli with green chutney,180,28,4.5,3,2.8,25,3,0,0.2,2,0.2,0.1,0.8,0.2,14,30,0.8,12,55,90,6,0.3,2,0.8,0.5,Veg,Breakfast,Male
Chia pudding with banana,220,30,6.5,8,6,110,8,0,0.6,15,0.1,0.1,1.1,0.3,20,70,1.2,40,90,230,3,1,80,2.5,8.5,Veg,Breakfast,Male
Smoothie with spinach and ginger,130,18,4,2,4.5,950,12,0,0.3,60,0.2,0.1,0.8,0.4,45,50,2,30,95,120,4,0.5,12,1.2,9,Veg,Breakfast,Male
Scrambled eggs with spinach and tomato,190,5,12,13,3,770,7,40,2,20,0.3,0.2,0.6,0.2,30,50,1.8,18,140,190,1,0.8,80,2,0.5,Non-Veg,Breakfast,Male
Greek yogurt with honey and seeds,170,18,8,5,2,50,0.5,0,0.1,0,0.1,0.2,0.7,0.1,15,140,0.4,18,110,130,4,0.4,0,2,6,Veg,Breakfast,Male
Ragi dosa with coriander chutney,200,32,4.5,4,3,130,6,0,0.4,8,0.1,0.1,0.6,0.1,14,40,1.5,38,90,140,5,0.3,1,1,0.5,Veg,Breakfast,Male
Masala oats with ginger and cumin,190,30,6,3,4.5,120,2.5,0,0.3,1.5,0.2,0.1,0.5,0.2,22,35,1.2,25,80,110,6,0.4,2.5,1,3,Veg,Breakfast,Male
Vegetable dalia with spinach and peas,200,34,6,2.5,5,1200,7,0,0.2,45,0.3,0.1,1.2,0.3,35,80,2,28,105,210,5,0.6,10,2,2,Veg,Breakfast,Male
Spinach dal with quinoa,280,38,8,6,6.5,1500,9,0,0.5,80,0.4,0.2,1.4,0.4,55,90,3,45,140,260,10,1.2,20,2.5,1,Veg,Lunch,Male
Steamed rice with moong dal,320,50,10,4.5,4,250,3,0,0.2,1.5,0.2,0.1,0.8,0.2,24,35,2,28,100,200,8,0.8,8,1.5,0.5,Veg,Lunch,Male
Grilled chicken with roasted vegetables,350,12,32,12,6,1600,18,40,2,35,0.5,0.4,1,0.6,50,60,3.5,40,150,300,85,1.5,200,8,1,Non-Veg,Lunch,Male
Mixed vegetable khichdi with moong dal,310,48,9,5,7.5,1000,8,0,0.3,50,0.4,0.1,1.2,0.4,60,85,2.5,35,120,250,12,0.8,15,3,1.5,Veg,Lunch,Male
Grilled paneer with sautéed greens,300,15,12,15,4,800,6,0,1,55,0.2,0.1,0.8,0.3,45,200,3,30,140,240,20,0.9,15,5,0.8,Veg,Lunch,Male
Stir-fried tofu with bell peppers,290,20,15,14,5.5,900,9,0,1.2,50,0.3,0.2,1.5,0.5,60,150,2.8,35,120,230,15,1.2,25,6,2,Veg,Lunch,Male
Rajma (kidney bean) curry with brown rice,350,55,12,4,8,300,5,0,0.3,20,0.3,0.2,1,0.3,50,80,3,40,110,300,8,1,15,3,1,Veg,Lunch,Male
Grilled fish with steamed broccoli,280,5,30,10,3.5,600,12,40,1.8,10,0.1,0.1,0.7,0.3,25,40,1.5,25,200,250,70,0.9,220,6,0.2,Non-Veg,Lunch,Male
Curd rice with cucumber,280,44,9,5,4.5,250,2.5,0,0.1,2,0.1,0.1,0.7,0.1,12,100,0.5,20,90,140,15,0.4,1,1,3,Veg,Lunch,Male
Pumpkin curry with a side of roti,310,40,7,6,6,1600,15,0,0.5,60,0.3,0.1,1.2,0.3,35,50,1.5,30,120,220,10,0.6,8,2.5,2,Veg,Lunch,Male
Sautéed greens with roasted sweet potatoes,260,30,5,8,6.5,1700,25,0,1,100,0.3,0.1,1,0.4,40,80,1.5,40,130,300,15,0.7,15,3.5,8,Veg,Dinner,Male
Palak soup with a side of multigrain roti,290,40,8,6,5.5,2100,12,0,0.3,120,0.4,0.2,1.2,0.4,55,90,2.5,45,150,250,12,0.9,10,2.5,1,Veg,Dinner,Male
Grilled fish with steamed carrots,280,5,32,10,3.5,600,10,40,1.5,10,0.1,0.1,0.8,0.3,25,50,1,25,180,220,65,0.8,220,6,0.2,Non-Veg,Dinner,Male
Bottle gourd curry with a millet roti,310,42,7,5,6,1600,15,0,0.5,60,0.3,0.1,1.1,0.3,30,60,2,40,120,210,10,0.7,12,3,2,Veg,Dinner,Male
Lightly seasoned zucchini and tofu stir-fry,270,18,15,12,5.5,800,9,0,1.2,50,0.2,0.1,1.2,0.4,50,100,2.5,30,110,200,12,1,18,5.5,1.2,Veg,Dinner,Male
Vegetable stew with lentils and quinoa,320,45,10,7,7,1800,15,0,0.3,80,0.3,0.2,1.5,0.5,70,85,3,40,140,280,15,0.9,15,2.5,1.5,Veg,Dinner,Male
Baked sweet potato with cumin,250,45,3,5,6.5,1800,20,0,0.3,20,0.2,0.1,0.8,0.2,18,35,1,25,90,250,12,0.5,10,2,5,Veg,Dinner,Male
Mixed vegetable soup with black pepper,200,30,5,3,5,900,10,0,0.1,60,0.2,0.1,0.8,0.2,25,50,1,20,80,200,8,0.5,5,1,0.5,Veg,Dinner,Male
Paneer and spinach curry,300,20,12,15,5,1500,10,0,1,100,0.3,0.1,1.2,0.4,50,200,3,40,150,230,20,0.9,10,5.5,1.2,Veg,Dinner,Male
Lentil khichdi with cumin and turmeric,320,45,10,5,8,1200,8,0,0.2,40,0.3,0.1,1,0.3,40,60,2.5,35,100,200,10,0.8,15,2.5,0.5,Veg,Dinner,Male
Sprouted moong salad with lemon and herbs,150,25,8,1.5,4.5,600,10,0,0.2,80,0.2,0.1,1.1,0.4,50,30,1.5,45,70,200,5,0.4,10,1.5,1.2,Veg,Breakfast,Female
Ragi dosa with lightly spiced chutney,200,38,4,4,3,200,6,0,0.3,15,0.2,0.1,0.6,0.2,25,40,1,20,60,150,10,0.3,5,1.5,0.5,Veg,Breakfast,Female
